metrics,method,value
ACC,CCPE,0.850694444
SPEC,CCPE,0.838541667
PREC,CCPE,0.730434783
REC,CCPE,0.875
F_score,CCPE,0.796208531
G_mean,CCPE,0.856576884
Jacc,CCPE,0.661417323
RI,CCPE,0.826388889
ARI,CCPE,0.608064761
NMI,CCPE,0.55389903
ACC,reCAT,0.445486111
SPEC,reCAT,0.497916667
PREC,reCAT,0.211672742
REC,reCAT,0.340625
F_score,reCAT,0.260334344
G_mean,reCAT,0.346617371
Jacc,reCAT,0.170115501
RI,reCAT,0.563097658
ARI,reCAT,0.24556955
NMI,reCAT,0.359849612
ACC,cyclone,0.814930556
SPEC,cyclone,0.818229167
PREC,cyclone,0.689770618
REC,cyclone,0.808333333
F_score,cyclone,0.744353765
G_mean,cyclone,0.813259024
Jacc,cyclone,0.592824427
RI,cyclone,0.794715447
ARI,cyclone,0.536651957
NMI,cyclone,NaN
ACC,Cyclum,0.790625
SPEC,Cyclum,0.803125
PREC,Cyclum,0.665569818
REC,Cyclum,0.765625
F_score,Cyclum,0.711075772
G_mean,Cyclum,0.783770306
Jacc,Cyclum,0.554204105
RI,Cyclum,0.76714818
ARI,Cyclum,0.47678703
NMI,Cyclum,0.421624338
ACC,CYCLOPS,0.494444444
SPEC,CYCLOPS,0.479166667
PREC,CYCLOPS,0.333991294
REC,CYCLOPS,0.525
F_score,CYCLOPS,0.407809029
G_mean,CYCLOPS,0.499779945
Jacc,CYCLOPS,0.257332587
RI,CYCLOPS,0.580737031
ARI,CYCLOPS,0.067213331
NMI,CYCLOPS,0.064109074
ACC,Seurat,0.559027778
SPEC,Seurat,0.65625
PREC,Seurat,0.346534653
REC,Seurat,0.364583333
F_score,Seurat,0.355329949
G_mean,Seurat,0.48913987
Jacc,Seurat,0.216049383
RI,Seurat,0.654737708
ARI,Seurat,0.236593276
NMI,Seurat,0.234164317
